,Province_State,Date,Confirmed Cases,new_cases,Confirmed_Cases_log,7day_avg,14day_avg,21day_avg
29111,Oklahoma,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
32661,South Carolina,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
36921,Virgin Islands,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
31241,Puerto Rico,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
11361,Idaho,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
19881,Mississippi,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
36211,Vermont,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
40471,Wyoming,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
2131,Arizona,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
23431,New Hampshire,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
1,Alabama,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
39051,West Virginia,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
24141,New Jersey,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
24851,New Mexico,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
25561,New York,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
3551,California,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
24852,New Mexico,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
9232,Grand Princess,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
13492,Iowa,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
33372,South Dakota,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
35502,Utah,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
31242,Puerto Rico,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
12072,Illinois,2020-01-24,1,1.0,0.6931471805599453,0.33,0.33,0.33
27692,Northern Mariana Islands,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
20592,Missouri,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
2842,Arkansas,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
26272,North Carolina,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
10652,Hawaii,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
3552,California,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
5682,Delaware,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
8522,Georgia,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
26982,North Dakota,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
31952,Rhode Island,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
32662,South Carolina,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
11362,Idaho,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
39052,West Virginia,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
14912,Kentucky,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
